underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2016-12-15,SPY,2016-12-16,15.000,C,0.0000,0.0000,0.0000,0.0000,0,10,211.6300,10,212.2500,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.0424,10,211.4000,10,212.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,15.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,12114,0.0100,226.9000,226.9100,226.1169,226.9100,15.3263,-0.0001,0.0000,-0.0050,0.0000,0.0000,0,0.0000,11047,0.0100,226.8700,226.8900,0.0000,9041,
SPY,2016-12-15,SPY,2016-12-16,20.000,C,0.0000,0.0000,0.0000,0.0000,0,10,206.4600,10,207.2900,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.0565,10,206.4600,10,207.3100,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,20.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,12328,0.0100,226.9000,226.9100,226.1169,226.9100,13.6646,-0.0001,0.0000,-0.0051,0.0001,0.0000,0,0.0000,7532,0.0100,226.8700,226.8900,0.0000,19277,
SPY,2016-12-15,SPY,2016-12-16,25.000,C,0.0000,0.0000,0.0000,0.0000,0,10,201.6300,10,202.2500,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.0706,10,201.4000,10,202.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,25.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10045,0.0100,226.9000,226.9100,226.1169,226.9100,12.3734,-0.0001,0.0000,-0.0050,0.0001,0.0000,0,0.0000,5684,0.0100,226.8700,226.8900,0.0000,2709,
SPY,2016-12-15,SPY,2016-12-16,30.000,C,0.0000,0.0000,0.0000,0.0000,0,10,196.6300,10,197.2500,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.0848,10,196.6700,10,197.3700,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,30.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11467,0.0100,226.9000,226.9100,226.1169,226.9100,11.3366,-0.0001,0.0000,-0.0050,0.0001,0.0000,0,0.0000,6523,0.0100,226.8700,226.8900,0.0000,5072,
SPY,2016-12-15,SPY,2016-12-16,35.000,C,0.0000,0.0000,0.0000,0.0000,0,10,191.6300,10,192.2500,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.0989,10,191.6700,10,192.3700,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,35.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10405,0.0100,226.9000,226.9100,226.1169,226.9100,10.4727,-0.0001,0.0000,-0.0050,0.0001,-0.0001,0,0.0000,5816,0.0100,226.8700,226.8900,0.0000,6273,
